train_loss,val_loss,learning_rate
155482.00658040366,0.01713532575716575,0.0001
64718.882272135415,0.01395658913999796,0.0001
65835.68164632161,0.0030124734776715437,0.0001
65579.61471354167,0.0004761133866850287,0.0001
54340.14569091797,0.00025307238839256265,0.0001
47789.77492513021,0.00041096220530259113,0.0001
50626.72654052734,0.00036207226066229244,0.0001
39575.73714396159,0.0005291384287799398,0.0001
39275.810869954425,0.00014153754202804217,0.0001
39132.553954264324,0.0012565785506740213,0.0001
39716.96287434896,0.00014448966966786733,0.0001
37919.05602213542,0.0026538208903123936,0.0001
44982.0340625,0.0006423408274228374,0.0001
33402.46287150065,0.0001516754385860016,0.0001
33484.613982340496,0.0001554187100070218,0.0001
15820.721935221354,0.00015059806736341367,5e-05
14561.710322672527,0.00013145959218187879,5e-05
15802.92113627116,0.00037992874005188547,5e-05
12635.878683268229,0.00012417293357430025,5e-05
23001.85205118815,0.00022428733432510248,5e-05
17997.071025390625,0.00011124918285834914,5e-05
20642.531568603517,0.00011775879946071655,5e-05
16398.107881266274,0.00020953319268301128,5e-05
23290.086327107747,0.00037928281584754587,5e-05
21545.777842610678,0.00016976736738191298,5e-05
15580.95711690267,0.00011926847636156406,5e-05
18811.43086791992,0.0001456992250556747,5e-05
7402.198960571289,0.00013732494650563846,2.5e-05
8910.329400227865,0.00012005127500742674,2.5e-05
8840.464720865886,0.00011843237705761567,2.5e-05
